ICAO Empresa Aerea;Numero Voo;Codigo DI;Codigo Tipo Linha;ICAO Aerodromo Origem;ICAO Aerodromo Destino;Partida Prevista;Partida Real;Chegada Prevista;Chegada Real;Situacao Voo
AZU;4417;0;N;SBRJ;SBCF;01/07/2020 06:50;01/07/2020 07:41;01/07/2020 08:05;01/07/2020 09:16;REALIZADO
UPS;415;0;X;SAEZ;SBKP;01/07/2020 06:50;01/07/2020 06:48;01/07/2020 09:20;01/07/2020 09:09;REALIZADO
AZU;4377;0;N;SBUL;SBCF;01/07/2020 07:00;01/07/2020 06:45;01/07/2020 08:25;01/07/2020 08:00;REALIZADO
GLO;1312;0;N;SBSP;SBPA;01/07/2020 07:00;01/07/2020 09:01;01/07/2020 08:40;01/07/2020 10:33;REALIZADO
GLO;1700;0;N;SBSP;SBSV;01/07/2020 07:00;01/07/2020 07:03;01/07/2020 09:25;01/07/2020 09:26;REALIZADO
GLO;2813;0;N;SBRJ;SBSP;01/07/2020 07:00;01/07/2020 06:55;01/07/2020 08:05;01/07/2020 07:59;REALIZADO
GLO;2900;0;N;SBSP;SBRJ;01/07/2020 07:00;;01/07/2020 08:05;;CANCELADO
TAM;3183;0;N;SBRJ;SBVT;01/07/2020 07:00;01/07/2020 06:51;01/07/2020 08:10;01/07/2020 07:46;REALIZADO
TAM;4684;0;N;SBGR;SBVT;01/07/2020 07:00;01/07/2020 06:49;01/07/2020 08:25;01/07/2020 08:15;REALIZADO
OWT;5550;0;N;SNMA;SDWQ;01/07/2020 07:05;01/07/2020 06:55;01/07/2020 07:30;01/07/2020 07:16;REALIZADO
TAP;9560;1;X;SBGR;LPPT;01/07/2020 07:05;01/07/2020 06:54;01/07/2020 17:00;01/07/2020 16:45;REALIZADO
GLO;1889;0;N;SBPJ;SBBR;01/07/2020 07:10;01/07/2020 07:01;01/07/2020 08:25;01/07/2020 08:14;REALIZADO
AZU;4051;0;N;SBSP;SBCF;01/07/2020 07:15;01/07/2020 07:18;01/07/2020 08:30;01/07/2020 08:26;REALIZADO
LTG;6550;0;C;SBGR;SBEG;01/07/2020 07:15;01/07/2020 08:20;01/07/2020 11:00;01/07/2020 12:29;REALIZADO
TAM;3526;0;N;SBSP;SBBR;01/07/2020 07:15;01/07/2020 07:17;01/07/2020 09:00;01/07/2020 09:10;REALIZADO
TAM;3904;0;N;SBSP;SBRJ;01/07/2020 07:15;01/07/2020 07:12;01/07/2020 08:15;01/07/2020 08:03;REALIZADO
GLO;2245;0;N;SBPA;SBGL;01/07/2020 07:30;01/07/2020 07:40;01/07/2020 09:20;01/07/2020 09:57;REALIZADO
LCO;1305;0;X;SBGL;SEQM;01/07/2020 07:30;01/07/2020 07:47;01/07/2020 14:00;01/07/2020 14:40;REALIZADO
TAM;3017;0;N;SBGR;SBCT;01/07/2020 07:35;01/07/2020 07:23;01/07/2020 08:40;01/07/2020 08:28;REALIZADO
TAM;3807;0;N;SBGR;SBRJ;01/07/2020 07:35;01/07/2020 07:25;01/07/2020 08:30;01/07/2020 08:23;REALIZADO
TAM;3356;0;N;SBGR;SBEG;01/07/2020 07:40;01/07/2020 07:44;01/07/2020 11:40;01/07/2020 11:44;REALIZADO
THY;193;0;I;LFTM;SBGR;01/07/2020 07:40;;01/07/2020 20:55;;CANCELADO
OWT;5550;0;N;SDWQ;SNTI;01/07/2020 07:45;01/07/2020 07:30;01/07/2020 08:15;01/07/2020 07:53;REALIZADO
TAM;3119;0;N;SBSP;SBNF;01/07/2020 07:50;01/07/2020 07:37;01/07/2020 09:00;01/07/2020 08:48;REALIZADO
AZU;4402;0;N;SBRJ;SBPA;01/07/2020 08:00;01/07/2020 08:04;01/07/2020 10:05;01/07/2020 10:00;REALIZADO
GLO;2211;0;N;SBFL;SBGL;01/07/2020 08:00;01/07/2020 07:56;01/07/2020 09:30;01/07/2020 09:20;REALIZADO
TAM;3344;0;N;SBGR;SBNF;01/07/2020 08:00;01/07/2020 07:56;01/07/2020 09:05;01/07/2020 08:58;REALIZADO
AZU;4300;0;N;SBKP;SBPA;01/07/2020 08:10;01/07/2020 08:05;01/07/2020 09:55;01/07/2020 09:50;REALIZADO
OWT;5540;0;N;SBPV;SWLB;01/07/2020 08:10;01/07/2020 08:03;01/07/2020 08:55;01/07/2020 08:47;REALIZADO
AZU;4374;0;N;SBKP;SBBE;01/07/2020 08:15;01/07/2020 09:00;01/07/2020 11:40;01/07/2020 12:29;REALIZADO
AZU;4380;0;N;SBKP;SBEG;01/07/2020 08:15;01/07/2020 08:15;01/07/2020 12:00;01/07/2020 12:13;REALIZADO
MPH;7122;0;X;SBKP;SCEL;01/07/2020 08:15;01/07/2020 09:26;01/07/2020 12:05;01/07/2020 12:45;REALIZADO
AZU;4328;0;N;SBKP;SBRF;01/07/2020 08:20;01/07/2020 08:24;01/07/2020 11:25;01/07/2020 11:29;REALIZADO
AZU;4200;0;N;SBSP;SBRF;01/07/2020 08:25;01/07/2020 08:20;01/07/2020 11:30;01/07/2020 11:24;REALIZADO
AZU;4000;0;N;SBSP;SBRJ;01/07/2020 08:30;01/07/2020 08:27;01/07/2020 09:35;01/07/2020 09:18;REALIZADO
AZU;4394;0;N;SBKP;SBBR;01/07/2020 08:30;01/07/2020 08:38;01/07/2020 10:10;01/07/2020 10:14;REALIZADO
AZU;4406;0;N;SBKP;SBFI;01/07/2020 08:30;01/07/2020 08:32;01/07/2020 10:10;01/07/2020 10:13;REALIZADO
LTG;8421;0;G;KMIA;SBCT;01/07/2020 08:30;01/07/2020 08:16;01/07/2020 16:50;01/07/2020 16:24;REALIZADO
OWT;5550;0;N;SNTI;SNOX;01/07/2020 08:30;01/07/2020 08:15;01/07/2020 08:50;01/07/2020 08:33;REALIZADO
OWT;5590;0;N;SBCY;SWHP;01/07/2020 08:30;01/07/2020 08:30;01/07/2020 10:10;01/07/2020 10:12;REALIZADO
GLO;1204;0;N;SBGR;SBFI;01/07/2020 08:35;01/07/2020 08:32;01/07/2020 10:20;01/07/2020 10:18;REALIZADO
GLO;1306;0;N;SBGR;SBPA;01/07/2020 08:35;01/07/2020 08:27;01/07/2020 10:15;01/07/2020 10:05;REALIZADO
GLO;1342;0;N;SBGR;SBPF;01/07/2020 08:35;;01/07/2020 10:10;;CANCELADO
AZU;4316;0;N;SBKP;SBCF;01/07/2020 08:40;01/07/2020 08:46;01/07/2020 09:55;01/07/2020 10:01;REALIZADO
AZU;9104;0;N;SBKP;SBBE;01/07/2020 08:40;01/07/2020 08:52;01/07/2020 12:05;01/07/2020 12:24;REALIZADO
GLO;1346;0;N;SBGR;SBCH;01/07/2020 08:40;01/07/2020 08:30;01/07/2020 10:15;01/07/2020 10:10;REALIZADO
GLO;1736;0;N;SBGR;SBSG;01/07/2020 08:40;01/07/2020 08:30;01/07/2020 12:00;01/07/2020 11:56;REALIZADO
AZU;4212;0;N;SBSP;SBCY;01/07/2020 08:45;01/07/2020 08:36;01/07/2020 10:55;01/07/2020 11:12;REALIZADO
AZU;4350;0;N;SBKP;SBRJ;01/07/2020 08:45;01/07/2020 08:44;01/07/2020 09:50;01/07/2020 09:42;REALIZADO
GLO;1062;0;N;SBGR;SBGL;01/07/2020 08:45;01/07/2020 08:41;01/07/2020 09:50;01/07/2020 09:54;REALIZADO
GLO;1740;0;N;SBGR;SBJP;01/07/2020 08:45;01/07/2020 09:13;01/07/2020 12:00;01/07/2020 12:23;REALIZADO
GLO;2901;0;N;SBRJ;SBSP;01/07/2020 08:45;;01/07/2020 09:50;;CANCELADO
TAM;3166;0;N;SBPA;SBSP;01/07/2020 08:45;01/07/2020 09:06;01/07/2020 10:20;01/07/2020 10:35;REALIZADO
TAM;3213;0;N;SBCF;SBSP;01/07/2020 08:45;01/07/2020 08:35;01/07/2020 10:05;01/07/2020 09:46;REALIZADO
TAM;3333;0;N;SBGR;SBFZ;01/07/2020 08:45;01/07/2020 08:37;01/07/2020 12:05;01/07/2020 12:06;REALIZADO
AZU;4324;0;N;SBKP;SBGO;01/07/2020 08:50;01/07/2020 08:53;01/07/2020 10:25;01/07/2020 10:26;REALIZADO
AZU;4432;0;N;SBRF;SBBE;01/07/2020 08:50;01/07/2020 08:49;01/07/2020 11:30;01/07/2020 11:19;REALIZADO
GLO;1790;0;N;SBGR;SBRF;01/07/2020 08:50;01/07/2020 08:44;01/07/2020 11:50;01/07/2020 11:47;REALIZADO
LCO;1107;0;X;KMIA;SBKP;01/07/2020 08:50;01/07/2020 08:52;01/07/2020 17:00;01/07/2020 16:58;REALIZADO
GLO;1320;0;N;SBGR;SBFL;01/07/2020 08:55;01/07/2020 08:45;01/07/2020 10:10;01/07/2020 10:01;REALIZADO
GLO;1414;0;N;SBSP;SBCF;01/07/2020 08:55;01/07/2020 08:47;01/07/2020 10:10;01/07/2020 09:57;REALIZADO
GLO;2912;0;N;SBSP;SBRJ;01/07/2020 08:55;01/07/2020 08:54;01/07/2020 10:00;01/07/2020 09:47;REALIZADO
TAM;3394;0;N;SBGR;SBRF;01/07/2020 08:55;01/07/2020 08:49;01/07/2020 12:00;01/07/2020 11:57;REALIZADO
TAM;3823;0;N;SBTE;SBBR;01/07/2020 08:55;01/07/2020 08:51;01/07/2020 11:00;01/07/2020 10:51;REALIZADO
AZU;4390;0;N;SBKP;SBSR;01/07/2020 09:00;01/07/2020 09:11;01/07/2020 10:15;01/07/2020 10:31;REALIZADO
AZU;6006;0;C;SBKP;SBFZ;01/07/2020 09:00;;01/07/2020 12:25;;CANCELADO
GLO;1108;0;N;SBSP;SBBR;01/07/2020 09:00;;01/07/2020 10:50;;CANCELADO
GLO;1220;0;N;SBGR;SBMG;01/07/2020 09:00;01/07/2020 08:53;01/07/2020 10:15;01/07/2020 10:29;REALIZADO
GLO;1350;0;N;SBGR;SBNF;01/07/2020 09:00;01/07/2020 08:59;01/07/2020 10:10;01/07/2020 10:27;REALIZADO
GLO;1874;0;N;SBBR;SBSG;01/07/2020 09:00;01/07/2020 08:57;01/07/2020 11:40;01/07/2020 11:46;REALIZADO
TAM;3909;0;N;SBRJ;SBSP;01/07/2020 09:00;01/07/2020 08:51;01/07/2020 10:05;01/07/2020 09:55;REALIZADO
TAM;4511;0;N;SBGR;SBSV;01/07/2020 09:00;01/07/2020 09:00;01/07/2020 11:20;01/07/2020 11:22;REALIZADO
TPA;4051;0;G;KMIA;SBKP;01/07/2020 09:00;;01/07/2020 17:15;;CANCELADO
GLO;1744;0;N;SBGR;SBJU;01/07/2020 09:05;01/07/2020 11:44;01/07/2020 12:00;01/07/2020 14:36;REALIZADO
GLO;1872;0;N;SBBR;SBJP;01/07/2020 09:05;01/07/2020 09:05;01/07/2020 11:40;01/07/2020 11:41;REALIZADO
GLO;1880;0;N;SBBR;SBFZ;01/07/2020 09:05;01/07/2020 08:59;01/07/2020 11:40;01/07/2020 11:27;REALIZADO
TAM;3187;0;N;SBVT;SBRJ;01/07/2020 09:05;01/07/2020 09:01;01/07/2020 10:10;01/07/2020 10:00;REALIZADO
TAM;3457;0;N;SBBR;SBRJ;01/07/2020 09:05;01/07/2020 08:57;01/07/2020 10:50;01/07/2020 10:33;REALIZADO
TAM;3663;0;N;SBGO;SBGR;01/07/2020 09:05;01/07/2020 08:56;01/07/2020 10:35;01/07/2020 10:23;REALIZADO
AZU;4308;0;N;SBKP;SBCT;01/07/2020 09:10;01/07/2020 09:07;01/07/2020 10:10;01/07/2020 10:15;REALIZADO
GLO;1107;0;N;SBBR;SBSP;01/07/2020 09:10;01/07/2020 10:54;01/07/2020 10:55;01/07/2020 12:33;REALIZADO
GLO;1738;0;N;SBGR;SBPL;01/07/2020 09:10;01/07/2020 09:07;01/07/2020 11:50;01/07/2020 11:49;REALIZADO
GLO;1876;0;N;SBBR;SBRF;01/07/2020 09:10;;01/07/2020 11:45;;CANCELADO
OWT;5550;0;N;SNOX;SBTB;01/07/2020 09:10;01/07/2020 08:55;01/07/2020 09:35;01/07/2020 09:20;REALIZADO
TAM;3112;0;N;SBVT;SBGR;01/07/2020 09:10;01/07/2020 09:05;01/07/2020 10:40;01/07/2020 10:40;REALIZADO
THY;6409;0;G;LTBA;KMIA;01/07/2020 09:10;;01/07/2020 21:30;;CANCELADO
AZU;4329;0;N;SBRF;SBKP;01/07/2020 09:15;01/07/2020 09:14;01/07/2020 12:30;01/07/2020 12:15;REALIZADO
AZU;4336;0;N;SBKP;SBCY;01/07/2020 09:15;01/07/2020 09:16;01/07/2020 11:20;01/07/2020 11:42;REALIZADO
AZU;4418;0;N;SBCF;SBCY;01/07/2020 09:15;01/07/2020 09:16;01/07/2020 11:30;01/07/2020 11:46;REALIZADO
GLO;1212;0;N;SBGR;SBCT;01/07/2020 09:15;01/07/2020 09:04;01/07/2020 10:20;01/07/2020 10:24;REALIZADO
GLO;1424;0;N;SBGR;SBVT;01/07/2020 09:15;01/07/2020 09:02;01/07/2020 10:40;01/07/2020 10:30;REALIZADO
GLO;1442;0;N;SBGR;SBCF;01/07/2020 09:15;01/07/2020 09:06;01/07/2020 10:25;01/07/2020 10:23;REALIZADO
GLO;1780;0;N;SBGR;SBFZ;01/07/2020 09:15;01/07/2020 09:10;01/07/2020 12:35;01/07/2020 12:38;REALIZADO
TAM;3031;0;N;SBRJ;SBGR;01/07/2020 09:15;01/07/2020 09:05;01/07/2020 10:20;01/07/2020 10:02;REALIZADO
TAM;3145;0;N;SBBR;SBGR;01/07/2020 09:15;01/07/2020 09:10;01/07/2020 10:50;01/07/2020 10:37;REALIZADO
TAM;4596;0;N;SBPA;SBGR;01/07/2020 09:15;01/07/2020 09:40;01/07/2020 10:50;01/07/2020 11:14;REALIZADO
AZU;4050;0;N;SBCF;SBSP;01/07/2020 09:20;01/07/2020 09:11;01/07/2020 10:40;01/07/2020 10:32;REALIZADO
GLO;1884;0;N;SBBR;SBSV;01/07/2020 09:20;01/07/2020 09:13;01/07/2020 11:15;01/07/2020 11:02;REALIZADO
GLO;1896;0;N;SBBR;SBBE;01/07/2020 09:20;01/07/2020 09:29;01/07/2020 11:50;01/07/2020 11:56;REALIZADO
TAM;3419;0;N;SBSL;SBBR;01/07/2020 09:20;01/07/2020 09:02;01/07/2020 11:45;01/07/2020 11:14;REALIZADO
GLO;1870;0;N;SBBR;SBSL;01/07/2020 09:25;01/07/2020 09:35;01/07/2020 11:50;01/07/2020 11:51;REALIZADO
LTG;8491;0;G;SBGR;SBKP;01/07/2020 09:25;01/07/2020 09:00;01/07/2020 10:10;01/07/2020 09:42;REALIZADO
OWT;5021;0;N;SBKP;SBAE;01/07/2020 09:25;01/07/2020 09:14;01/07/2020 10:30;01/07/2020 10:37;REALIZADO
TAM;3279;0;N;SBCY;SBSP;01/07/2020 09:25;01/07/2020 09:09;01/07/2020 11:35;01/07/2020 11:06;REALIZADO
GLO;1716;0;N;SBGR;SBSV;01/07/2020 09:30;01/07/2020 09:30;01/07/2020 11:55;01/07/2020 12:00;REALIZADO
GLO;1752;0;N;SBGR;SBVC;01/07/2020 09:30;01/07/2020 09:25;01/07/2020 11:30;01/07/2020 11:24;REALIZADO
GLO;1802;0;N;SBBR;SBRJ;01/07/2020 09:30;01/07/2020 09:49;01/07/2020 11:15;01/07/2020 11:27;REALIZADO
GLO;1892;0;N;SBBR;SBEG;01/07/2020 09:30;01/07/2020 10:50;01/07/2020 12:25;01/07/2020 13:59;REALIZADO
OWT;5420;0;C;SBVT;SBSV;01/07/2020 09:30;01/07/2020 09:30;01/07/2020 12:50;01/07/2020 12:42;REALIZADO
SUL;24;0;N;SBCY;SWJN;01/07/2020 09:30;01/07/2020 09:28;01/07/2020 11:30;01/07/2020 11:43;REALIZADO
TAM;3587;0;N;SBRF;SBBR;01/07/2020 09:30;01/07/2020 09:28;01/07/2020 12:10;01/07/2020 12:00;REALIZADO
TAM;3894;0;N;SBGR;SBSG;01/07/2020 09:30;01/07/2020 09:24;01/07/2020 12:40;01/07/2020 12:51;REALIZADO
GLO;1354;0;N;SBGR;SBJV;01/07/2020 09:35;;01/07/2020 10:35;;CANCELADO
TAM;3515;0;N;SBCT;SBGR;01/07/2020 09:35;01/07/2020 09:30;01/07/2020 10:40;01/07/2020 10:26;REALIZADO
GLO;1894;0;N;SBBR;SBPV;01/07/2020 09:40;01/07/2020 09:41;01/07/2020 13:05;01/07/2020 12:41;REALIZADO
AZU;4366;0;N;SBKP;SBFL;01/07/2020 09:45;01/07/2020 09:42;01/07/2020 11:00;01/07/2020 10:54;REALIZADO
