ICAO Empresa Aerea;Numero Voo;Codigo DI;Codigo Tipo Linha;ICAO Aerodromo Origem;ICAO Aerodromo Destino;Partida Prevista;Partida Real;Chegada Prevista;Chegada Real;Situacao Voo
UAL;2784;2;X;KORD;SBGR;01/07/2020 00:00;30/06/2020 23:53;01/07/2020 10:20;01/07/2020 09:38;REALIZADO
LCO;1507;0;X;KMIA;EHAM;01/07/2020 00:20;01/07/2020 01:16;01/07/2020 09:10;01/07/2020 10:28;REALIZADO
SID;9306;0;C;SBBR;SBGR;01/07/2020 00:30;01/07/2020 00:30;01/07/2020 02:00;01/07/2020 02:00;REALIZADO
QTR;773;0;X;OTHH;SBGR;01/07/2020 01:25;01/07/2020 01:39;01/07/2020 17:20;01/07/2020 16:51;REALIZADO
OWT;5615;0;C;SBCF;SBJD;01/07/2020 01:30;01/07/2020 01:30;01/07/2020 03:30;01/07/2020 03:45;REALIZADO
TTL;5683;0;C;SBGR;SBGL;01/07/2020 02:00;;01/07/2020 03:00;;CANCELADO
LTG;6553;0;C;SBEG;SBGR;01/07/2020 02:25;01/07/2020 02:49;01/07/2020 06:05;01/07/2020 06:11;REALIZADO
AZU;4383;0;N;SBEG;SBKP;01/07/2020 03:00;01/07/2020 03:13;01/07/2020 06:55;01/07/2020 06:41;REALIZADO
SID;9307;0;C;SBGR;SBBR;01/07/2020 03:00;01/07/2020 02:55;01/07/2020 04:35;01/07/2020 04:35;REALIZADO
SID;9523;0;C;SBGR;SBRF;01/07/2020 03:00;01/07/2020 03:10;01/07/2020 06:00;01/07/2020 06:10;REALIZADO
TAM;9561;2;N;SBEG;SBGR;01/07/2020 03:00;01/07/2020 07:02;01/07/2020 08:00;01/07/2020 10:20;REALIZADO
MWM;9207;2;C;SBRF;SBGL;01/07/2020 03:05;01/07/2020 03:26;01/07/2020 06:15;01/07/2020 06:17;REALIZADO
SID;9521;0;C;SBGR;SBGO;01/07/2020 03:20;01/07/2020 03:10;01/07/2020 04:45;01/07/2020 04:50;REALIZADO
AZU;4373;0;N;SBSV;SBKP;01/07/2020 03:30;01/07/2020 03:20;01/07/2020 06:00;01/07/2020 05:40;REALIZADO
CLX;7613;0;G;SBCT;SBGL;01/07/2020 03:40;;01/07/2020 04:50;;CANCELADO
OWT;5601;0;C;SBGR;SBVT;01/07/2020 03:40;01/07/2020 03:30;01/07/2020 06:35;01/07/2020 05:47;REALIZADO
TTL;5681;0;C;SBGR;SBCT;01/07/2020 03:40;01/07/2020 03:52;01/07/2020 04:40;01/07/2020 05:14;REALIZADO
AZU;4341;0;N;SBCY;SBKP;01/07/2020 03:45;01/07/2020 03:34;01/07/2020 05:50;01/07/2020 05:22;REALIZADO
SID;9409;0;C;SBGR;SBFZ;01/07/2020 03:45;01/07/2020 03:40;01/07/2020 07:05;01/07/2020 07:07;REALIZADO
AZU;4335;0;N;SBRF;SBKP;01/07/2020 03:55;01/07/2020 04:47;01/07/2020 07:10;01/07/2020 07:43;REALIZADO
SID;9305;0;C;SBGR;SBBR;01/07/2020 04:00;01/07/2020 04:04;01/07/2020 05:45;01/07/2020 05:55;REALIZADO
SID;9525;0;C;SBGR;SBRF;01/07/2020 04:00;01/07/2020 03:50;01/07/2020 07:00;01/07/2020 07:20;REALIZADO
ETH;506;0;X;HAAB;SBGR;01/07/2020 04:05;01/07/2020 04:39;01/07/2020 16:15;01/07/2020 16:57;REALIZADO
AZU;4477;0;N;SBPJ;SBKP;01/07/2020 04:10;01/07/2020 04:02;01/07/2020 06:25;01/07/2020 06:09;REALIZADO
LAN;9587;2;I;SBGR;SCEL;01/07/2020 04:20;;01/07/2020 08:30;;CANCELADO
TTL;5683;0;C;SBGL;SBVT;01/07/2020 04:20;;01/07/2020 05:15;;CANCELADO
LTG;8491;0;G;SCEL;SBGR;01/07/2020 04:35;01/07/2020 04:36;01/07/2020 08:25;01/07/2020 08:04;REALIZADO
TTL;5679;0;C;SBGR;SBPA;01/07/2020 04:40;01/07/2020 04:32;01/07/2020 06:20;01/07/2020 06:15;REALIZADO
OWT;5540;0;N;SBEG;SBPV;01/07/2020 04:45;01/07/2020 04:45;01/07/2020 07:40;01/07/2020 07:24;REALIZADO
TAM;9559;2;N;SBGL;SBGR;01/07/2020 05:00;01/07/2020 04:49;01/07/2020 06:00;01/07/2020 05:49;REALIZADO
AFR;456;2;X;LFPG;SBGR;01/07/2020 05:10;01/07/2020 05:05;01/07/2020 16:55;01/07/2020 16:37;REALIZADO
AZU;4211;0;N;SBCY;SBSP;01/07/2020 05:15;01/07/2020 05:11;01/07/2020 07:25;01/07/2020 07:03;REALIZADO
FDX;40;0;X;KMEM;SBKP;01/07/2020 05:15;01/07/2020 05:33;01/07/2020 14:55;01/07/2020 14:53;REALIZADO
AZU;4361;0;N;SBCG;SBKP;01/07/2020 05:20;01/07/2020 05:09;01/07/2020 06:55;01/07/2020 06:33;REALIZADO
TTL;5681;0;C;SBCT;SBFL;01/07/2020 05:20;01/07/2020 05:47;01/07/2020 06:00;01/07/2020 06:35;REALIZADO
SID;9521;0;C;SBGO;SBCG;01/07/2020 05:25;01/07/2020 05:20;01/07/2020 06:40;01/07/2020 06:49;REALIZADO
AZU;4327;0;N;SBGO;SBKP;01/07/2020 05:30;01/07/2020 05:30;01/07/2020 07:05;01/07/2020 06:56;REALIZADO
AZU;4411;0;N;SBVT;SBKP;01/07/2020 05:35;01/07/2020 05:37;01/07/2020 07:10;01/07/2020 07:13;REALIZADO
AZU;4399;0;N;SBBR;SBKP;01/07/2020 05:45;01/07/2020 05:38;01/07/2020 07:25;01/07/2020 07:02;REALIZADO
GTI;63;2;X;KMIA;SBKP;01/07/2020 05:45;01/07/2020 05:26;01/07/2020 13:55;01/07/2020 13:24;REALIZADO
CLX;7613;0;G;SBGL;ELLX;01/07/2020 05:50;;01/07/2020 17:15;;CANCELADO
OWT;5020;0;N;SBAE;SBKP;01/07/2020 05:50;01/07/2020 05:50;01/07/2020 06:55;01/07/2020 06:57;REALIZADO
GEC;8267;0;X;SAEZ;SBKP;01/07/2020 05:55;01/07/2020 06:07;01/07/2020 08:25;01/07/2020 08:32;REALIZADO
AZU;4301;0;N;SBPA;SBKP;01/07/2020 06:00;01/07/2020 05:56;01/07/2020 07:40;01/07/2020 07:33;REALIZADO
AZU;4315;0;N;SBCT;SBKP;01/07/2020 06:00;01/07/2020 06:21;01/07/2020 07:00;01/07/2020 07:18;REALIZADO
AZU;4369;0;N;SBFL;SBKP;01/07/2020 06:00;01/07/2020 05:59;01/07/2020 07:15;01/07/2020 07:08;REALIZADO
AZU;4387;0;N;SBAU;SBKP;01/07/2020 06:00;01/07/2020 06:00;01/07/2020 07:15;01/07/2020 07:05;REALIZADO
TAM;3416;0;N;SBBR;SBRF;01/07/2020 06:00;01/07/2020 06:18;01/07/2020 08:30;01/07/2020 08:49;REALIZADO
TAM;4690;0;N;SBBR;SBSL;01/07/2020 06:00;01/07/2020 05:48;01/07/2020 08:25;01/07/2020 08:00;REALIZADO
AZU;4323;0;N;SBCF;SBKP;01/07/2020 06:05;01/07/2020 06:03;01/07/2020 07:20;01/07/2020 07:24;REALIZADO
GLO;1117;0;N;SBBR;SBGR;01/07/2020 06:05;01/07/2020 05:59;01/07/2020 07:55;01/07/2020 07:33;REALIZADO
GLO;1427;0;N;SBVT;SBGR;01/07/2020 06:05;01/07/2020 05:59;01/07/2020 07:30;01/07/2020 07:30;REALIZADO
TAM;3822;0;N;SBBR;SBTE;01/07/2020 06:05;01/07/2020 06:00;01/07/2020 08:10;01/07/2020 08:11;REALIZADO
GLO;1821;0;N;SBCT;SBBR;01/07/2020 06:10;01/07/2020 06:07;01/07/2020 08:05;01/07/2020 08:01;REALIZADO
AZU;4357;0;N;SBRJ;SBKP;01/07/2020 06:15;01/07/2020 06:11;01/07/2020 07:30;01/07/2020 07:16;REALIZADO
AZU;4365;0;N;SBNF;SBKP;01/07/2020 06:15;01/07/2020 06:42;01/07/2020 07:25;01/07/2020 07:47;REALIZADO
OWT;5550;0;N;SBSN;SNMA;01/07/2020 06:15;01/07/2020 06:15;01/07/2020 06:50;01/07/2020 06:43;REALIZADO
TAM;3059;0;N;SBSP;SBPA;01/07/2020 06:15;01/07/2020 06:07;01/07/2020 07:50;01/07/2020 07:47;REALIZADO
TAM;3760;0;N;SBSP;SBCY;01/07/2020 06:15;01/07/2020 06:04;01/07/2020 08:25;01/07/2020 08:37;REALIZADO
GLO;1801;0;N;SBRJ;SBBR;01/07/2020 06:25;01/07/2020 06:14;01/07/2020 08:15;01/07/2020 08:02;REALIZADO
GLO;1841;0;N;SBGL;SBBR;01/07/2020 06:25;01/07/2020 06:22;01/07/2020 08:15;01/07/2020 08:13;REALIZADO
AZU;4001;0;N;SBRJ;SBSP;01/07/2020 06:30;01/07/2020 06:31;01/07/2020 07:35;01/07/2020 07:32;REALIZADO
AZU;9966;0;C;SBKP;SBCY;01/07/2020 06:30;01/07/2020 06:45;01/07/2020 10:00;01/07/2020 10:21;REALIZADO
GLO;1063;0;N;SBGL;SBGR;01/07/2020 06:30;01/07/2020 06:27;01/07/2020 07:45;01/07/2020 07:25;REALIZADO
GLO;1116;0;N;SBGR;SBBR;01/07/2020 06:30;01/07/2020 06:23;01/07/2020 08:10;01/07/2020 08:10;REALIZADO
OWT;5616;0;C;SBJD;SBCF;01/07/2020 06:30;01/07/2020 06:18;01/07/2020 08:30;01/07/2020 08:08;REALIZADO
SID;9305;0;C;SBBR;SBEG;01/07/2020 06:30;01/07/2020 06:45;01/07/2020 09:25;01/07/2020 09:50;REALIZADO
TAM;3024;0;N;SBRJ;SBBR;01/07/2020 06:30;01/07/2020 06:23;01/07/2020 08:15;01/07/2020 08:21;REALIZADO
TAM;3130;0;N;SBSP;SBSV;01/07/2020 06:30;01/07/2020 06:22;01/07/2020 08:50;01/07/2020 08:45;REALIZADO
TAM;3210;0;N;SBSP;SBCF;01/07/2020 06:30;01/07/2020 06:25;01/07/2020 07:45;01/07/2020 07:55;REALIZADO
TAM;3299;0;N;SBSP;SBFZ;01/07/2020 06:30;01/07/2020 06:24;01/07/2020 10:00;01/07/2020 09:50;REALIZADO
GLO;1106;0;N;SBSP;SBBR;01/07/2020 06:35;01/07/2020 07:04;01/07/2020 08:25;01/07/2020 08:46;REALIZADO
AZU;4413;0;N;SBVT;SBCF;01/07/2020 06:45;01/07/2020 06:36;01/07/2020 08:15;01/07/2020 07:55;REALIZADO
AZU;4428;0;N;SBSV;SBRF;01/07/2020 06:45;01/07/2020 06:34;01/07/2020 08:05;01/07/2020 07:52;REALIZADO
GLO;1706;0;N;SBSP;SBRF;01/07/2020 06:45;01/07/2020 06:46;01/07/2020 09:45;01/07/2020 09:46;REALIZADO
TAM;3142;0;N;SBGR;SBGO;01/07/2020 06:45;01/07/2020 06:35;01/07/2020 08:20;01/07/2020 08:18;REALIZADO
TAM;3234;0;N;SBGR;SBBR;01/07/2020 06:45;01/07/2020 06:37;01/07/2020 08:20;01/07/2020 08:27;REALIZADO
TAM;4668;0;N;SBGR;SBPA;01/07/2020 06:45;01/07/2020 06:40;01/07/2020 08:20;01/07/2020 08:23;REALIZADO
TAP;9561;1;X;LPPT;SBGR;01/07/2020 06:45;01/07/2020 07:21;01/07/2020 16:45;01/07/2020 17:11;REALIZADO
